	model_id	auc	logloss	aucpr	mean_per_class_error	rmse	mse
0	StackedEnsemble_BestOfFamily_2_AutoML_1_20231025_134033	0.8103832442067737	0.5469180157377108	0.8253499524505044	0.23830213903743314	0.42523030634452663	0.18082081343385997
1	GBM_grid_1_AutoML_1_20231025_134033_model_1	0.8084893048128342	0.5460946394651067	0.8285305570028209	0.2667112299465241	0.42680539431073095	0.18216284461273852
2	DeepLearning_grid_1_AutoML_1_20231025_134033_model_323	0.8048685383244206	2.4443472071267784	0.8054212336498138	0.2447638146167558	0.47771775178292997	0.2282142503685371
3	StackedEnsemble_BestOfFamily_3_AutoML_1_20231025_134033	0.8029188948306595	0.5460669201403796	0.8083702134066003	0.27629233511586454	0.42379015392912506	0.17959809456727152
4	GBM_4_AutoML_1_20231025_134033	0.8014705882352942	0.5492678684502054	0.8297965956712878	0.30314171122994654	0.4301899831773347	0.18506342162611553
5	StackedEnsemble_AllModels_2_AutoML_1_20231025_134033	0.8003565062388592	0.5554157870017976	0.8245748594530627	0.2708333333333333	0.42945622823943685	0.18443265197364328
6	XRT_1_AutoML_1_20231025_134033	0.7998551693404635	0.5495534525195871	0.8174460437303862	0.2483288770053476	0.4300267180160569	0.18492297820766132
7	DeepLearning_grid_1_AutoML_1_20231025_134033_model_128	0.7978498217468805	3.9984342052378707	0.7725985992539869	0.23239750445632798	0.4728601541376264	0.2235967253710598
8	GBM_grid_1_AutoML_1_20231025_134033_model_7	0.7973484848484849	0.5505993493619172	0.8215234334311744	0.3499331550802139	0.4335738796969017	0.1879863091554234
9	GBM_grid_1_AutoML_1_20231025_134033_model_5	0.796680035650624	0.5687253758191	0.8162597284737435	0.27239304812834225	0.43817508148191564	0.1919974020316834
10	StackedEnsemble_BestOfFamily_1_AutoML_1_20231025_134033	0.7961229946524064	0.554888443987227	0.8195323959857336	0.2579099821746881	0.4301549202113922	0.18503325538206916
11	DeepLearning_grid_1_AutoML_1_20231025_134033_model_95	0.7959001782531195	3.8522864733934914	0.7714123265126006	0.20577094474153299	0.46767934217207086	0.21872396709450095
12	StackedEnsemble_AllModels_1_AutoML_1_20231025_134033	0.7952317290552585	0.5528155015906207	0.8219591268124777	0.2708333333333333	0.43010150499284244	0.18498730459710808
13	DeepLearning_grid_1_AutoML_1_20231025_134033_model_163	0.7933377896613191	4.0635155279499235	0.7707849708339166	0.2429812834224599	0.4841606832280517	0.23441156718385384
14	GBM_grid_1_AutoML_1_20231025_134033_model_8	0.7930035650623886	0.5533906308707847	0.8141807784593619	0.2757352941176471	0.43311812368066765	0.18759130906066213
15	GBM_grid_1_AutoML_1_20231025_134033_model_11	0.7918894830659536	0.5721686394230994	0.8136550357365346	0.27551247771836007	0.43734955975768985	0.1912746374202451
16	DeepLearning_grid_1_AutoML_1_20231025_134033_model_235	0.7917780748663101	3.785743246720473	0.7919199563526651	0.2667112299465241	0.5054832311215424	0.25551329694507463
17	DeepLearning_grid_1_AutoML_1_20231025_134033_model_313	0.7915552584670231	4.718392032193479	0.7751858732911624	0.22459893048128343	0.5060538497282753	0.25609049882480783
18	DeepLearning_grid_1_AutoML_1_20231025_134033_model_205	0.7901069518716578	3.305047397253533	0.7760897704044041	0.2253787878787879	0.4650368460007693	0.21625926813834317
19	GBM_2_AutoML_1_20231025_134033	0.7899955436720142	0.5619389859899818	0.8144193460578374	0.2589126559714795	0.4380199561057668	0.19186148194689787
20	DeepLearning_grid_1_AutoML_1_20231025_134033_model_234	0.7879901960784313	3.5125660150467586	0.7718987403749837	0.27061051693404636	0.48822466451790125	0.23836332304361724
21	GBM_grid_1_AutoML_1_20231025_134033_model_9	0.7849821746880571	0.5644004941291377	0.7954893461647023	0.33311051693404636	0.4380005677678908	0.1918444973649947
22	GBM_grid_1_AutoML_1_20231025_134033_model_12	0.7837566844919786	0.5739020301981204	0.7885453433542035	0.27807486631016043	0.4370047788314519	0.19097317672152617
23	DeepLearning_grid_1_AutoML_1_20231025_134033_model_308	0.7826983065953654	3.878422288315247	0.7757534449636329	0.27551247771836007	0.5034822825065055	0.25349440879796065
24	DeepLearning_grid_1_AutoML_1_20231025_134033_model_137	0.7810828877005348	4.732039668241292	0.7566586238750574	0.24944295900178254	0.49905412986984055	0.24905502454014367
25	DeepLearning_grid_1_AutoML_1_20231025_134033_model_167	0.7809714795008912	3.5965761422861857	0.7753935520608369	0.28353386809269165	0.5139844657147887	0.26418003099611687
26	DeepLearning_grid_1_AutoML_1_20231025_134033_model_246	0.7806929590017826	3.309811244454131	0.7713329758808014	0.29745989304812837	0.501430587597347	0.2514326341782207
27	DeepLearning_grid_2_AutoML_1_20231025_134033_model_11	0.7800245098039216	2.6678552354304985	0.7982246423128839	0.3137254901960784	0.5010766491042643	0.25107780827755805
28	DeepLearning_grid_1_AutoML_1_20231025_134033_model_149	0.7771836007130125	4.603132049355819	0.7422343807779166	0.22025401069518719	0.47114014956261363	0.22197304052988195
29	DeepLearning_grid_1_AutoML_1_20231025_134033_model_68	0.776849376114082	3.8293741406065154	0.7711876045096511	0.268270944741533	0.5131070270882702	0.2632788212473628
30	GBM_grid_1_AutoML_1_20231025_134033_model_10	0.7762923351158645	0.5814391216410048	0.7797709443843667	0.26927361853832443	0.4410129664965636	0.1944924366180991
31	DeepLearning_grid_1_AutoML_1_20231025_134033_model_210	0.775958110516934	4.468352707854276	0.7569900745175475	0.2576871657754011	0.5077763357980173	0.25783680719646085
